ID,name,state
5346D475-7325-4315-A2C4-96DB2D97B6F2,TACT Viper Admins,ACTIVE
9552E467-F1C9-4F10-9339-197EEBB28E63,TACT Heroes Live Operators,ACTIVE
65EDBD53-68E8-409A-96E7-E6DDC170C5FD,TACT Service Operators,ACTIVE
DC4F4380-E34B-4207-83D2-CB6EB8A3F9E2,TACT WoW Contributors,ACTIVE
20C189A5-8BEE-4A54-8E3D-121DDE1DA39C,Wallaby Contributors,ACTIVE
9B8DFC89-7967-4F68-B178-12D333195F39,TACT Odyssey Admins,ACTIVE
C65DF492-A5F0-4628-B610-1795EDABF5B8,TACT Bootstrapper Contributors,ACTIVE
B336C2DB-3D3A-494D-B776-6363E3A123AC,Lazarus Admins,ACTIVE
7042CEF3-4142-4616-BB18-32F56D8DDE07,TACT Diablo3 Users,ACTIVE
0400DF90-6AA1-4823-85CB-B76A6974F74E,TACT Agent Contributors,ACTIVE
17EE44DF-5340-4F44-B687-B89E4C8D3228,TACT Cerberus Users,ACTIVE
41C297C4-D6CA-401D-9C17-F9EC8EA45502,TACT WarCraft2 Admins,ACTIVE
101DD6B7-6F67-4637-9374-2E414BD66797,TACT Heroes Users,ACTIVE
342316CF-ECDF-4D9B-B8E0-39221EB61553,TACT Cerberus Live Operators,ACTIVE
720059F6-3C6F-443A-994A-C40EB2BE7FCF,TACT Destiny Users,ACTIVE
74D69537-622B-4B1B-8983-FC0D75F30934,TACT Configs Live Operators,ACTIVE
B6BAFD67-F144-4667-A79E-DB8A70DC11AF,TACT Odin Live Operators,ACTIVE
B0B8384B-202F-42C9-9A98-6A89910C6D92,TACT Cerberus Admins,ACTIVE
121CF9A7-D088-4881-8293-2AF09CE0D8AC,TACT Publishers,ACTIVE
3B4B05A5-16B9-4624-BE17-14896DE339AE,Retro Contributors,ACTIVE
FE9CF8DA-D9BB-440A-BA33-54C83E3D7890,TACT Configs Admins,ACTIVE
51256819-6650-436B-9A4D-3B0DF2980A78,TACT Diablo3 Admins,ACTIVE
24D05CE8-373B-4DF4-901A-8DE74C9C0E3B,TACT Ares Contributors,INACTIVE
